"State","Number of CoCs","Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
"GA","7.0","20975.0","8723.0","12252.0","15975.0","5388.0","10587.0","5000.0","3335.0","1665.0","4581.0","2112.0","2469.0","3879.0","1841.0","2038.0","702.0","271.0","431.0","2243.0","1025.0","1218.0"
"GU","1.0","1745.0","204.0","1541.0","279.0","36.0","243.0","1466.0","168.0","1298.0","370.0","0.0","370.0","25.0","0.0","25.0","345.0","0.0","345.0","33.0","7.0","26.0"
"HI","2.0","6188.0","3632.0","2556.0","3195.0","1077.0","2118.0","2993.0","2555.0","438.0","935.0","116.0","819.0","904.0","111.0","793.0","31.0","5.0","26.0","505.0","210.0","295.0"
"IA","3.0","3134.0","3013.0","121.0","1628.0","1518.0","110.0","1506.0","1495.0","11.0","351.0","284.0","67.0","315.0","248.0","67.0","36.0","36.0","0.0","267.0","255.0","12.0"
"ID","2.0","2199.0","1585.0","614.0","1310.0","841.0","469.0","889.0","744.0","145.0","308.0","149.0","159.0","236.0","129.0","107.0","72.0","20.0","52.0","250.0","169.0","81.0"
"IL","20.0","14009.0","11089.0","2920.0","8173.0","5692.0","2481.0","5836.0","5397.0","439.0","2563.0","1483.0","1080.0","2400.0","1393.0","1007.0","163.0","90.0","73.0","1081.0","765.0","316.0"
"IN","3.0","6196.0","5550.0","646.0","3789.0","3256.0","533.0","2407.0","2294.0","113.0","602.0","425.0","177.0","602.0","425.0","177.0","0.0","0.0","0.0","714.0","638.0","76.0"
"KS","5.0","2511.0","2222.0","289.0","1425.0","1200.0","225.0","1086.0","1022.0","64.0","338.0","252.0","86.0","280.0","205.0","75.0","58.0","47.0","11.0","384.0","342.0","42.0"
"KY","3.0","6034.0","5183.0","851.0","3842.0","3170.0","672.0","2192.0","2013.0","179.0","784.0","577.0","207.0","659.0","508.0","151.0","125.0","69.0","56.0","636.0","579.0","57.0"
"LA","9.0","9291.0","3405.0","5886.0","7941.0","2197.0","5744.0","1350.0","1208.0","142.0","4433.0","165.0","4268.0","4352.0","158.0","4194.0","81.0","7.0","74.0","950.0","443.0","507.0"
"MA","20.0","16664.0","15961.0","703.0","6344.0","5672.0","672.0","10320.0","10289.0","31.0","2061.0","1711.0","350.0","1666.0","1319.0","347.0","395.0","392.0","3.0","1268.0","1210.0","58.0"
"MD","16.0","10208.0","6496.0","3712.0","6353.0","3957.0","2396.0","3855.0","2539.0","1316.0","1800.0","898.0","902.0","1627.0","803.0","824.0","173.0","95.0","78.0","696.0","577.0","119.0"
"ME","3.0","2447.0","2418.0","29.0","1184.0","1157.0","27.0","1263.0","1261.0","2.0","212.0","202.0","10.0","212.0","202.0","10.0","0.0","0.0","0.0","127.0","121.0","6.0"
"MI","21.0","13185.0","10864.0","2321.0","7634.0","5721.0","1913.0","5551.0","5143.0","408.0","1764.0","1258.0","506.0","1611.0","1142.0","469.0","153.0","116.0","37.0","959.0","755.0","204.0"
"MN","10.0","7495.0","6567.0","928.0","3410.0","2718.0","692.0","4085.0","3849.0","236.0","1862.0","1518.0","344.0","1211.0","955.0","256.0","651.0","563.0","88.0","449.0","371.0","78.0"
"MO","8.0","8989.0","6718.0","2271.0","4657.0","3263.0","1394.0","4332.0","3455.0","877.0","1418.0","929.0","489.0","1156.0","792.0","364.0","262.0","137.0","125.0","852.0","627.0","225.0"
"MP","0.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MS","3.0","2306.0","1056.0","1250.0","1825.0","734.0","1091.0","481.0","322.0","159.0","471.0","135.0","336.0","438.0","126.0","312.0","33.0","9.0","24.0","205.0","114.0","91.0"
"MT","1.0","1768.0","1216.0","552.0","1094.0","636.0","458.0","674.0","580.0","94.0","324.0","149.0","175.0","203.0","76.0","127.0","121.0","73.0","48.0","251.0","135.0","116.0"
"NC","12.0","12896.0","9245.0","3651.0","8303.0","6035.0","2268.0","4593.0","3210.0","1383.0","1476.0","916.0","560.0","1365.0","845.0","520.0","111.0","71.0","40.0","1248.0","941.0","307.0"
"ND","1.0","603.0","560.0","43.0","396.0","366.0","30.0","207.0","194.0","13.0","75.0","69.0","6.0","67.0","63.0","4.0","8.0","6.0","2.0","124.0","121.0","3.0"
"NE","3.0","3548.0","3041.0","507.0","2210.0","1872.0","338.0","1338.0","1169.0","169.0","502.0","409.0","93.0","445.0","361.0","84.0","57.0","48.0","9.0","310.0","253.0","57.0"
"NH","3.0","1469.0","1159.0","310.0","820.0","631.0","189.0","649.0","528.0","121.0","226.0","148.0","78.0","166.0","93.0","73.0","60.0","55.0","5.0","126.0","118.0","8.0"
"NJ","19.0","14137.0","12830.0","1307.0","6841.0","5960.0","881.0","7296.0","6870.0","426.0","955.0","788.0","167.0","750.0","610.0","140.0","205.0","178.0","27.0","811.0","668.0","143.0"
"NM","2.0","3601.0","2753.0","848.0","2246.0","1581.0","665.0","1355.0","1172.0","183.0","1117.0","658.0","459.0","971.0","564.0","407.0","146.0","94.0","52.0","364.0","221.0","143.0"
"NV","3.0","9150.0","4545.0","4605.0","7973.0","3403.0","4570.0","1177.0","1142.0","35.0","1353.0","196.0","1157.0","1342.0","187.0","1155.0","11.0","9.0","2.0","1240.0","692.0","548.0"
"NY","32.0","63445.0","59778.0","3667.0","27338.0","23842.0","3496.0","36107.0","35936.0","171.0","4208.0","2070.0","2138.0","3840.0","1755.0","2085.0","368.0","315.0","53.0","5765.0","5246.0","519.0"
"OH","9.0","13030.0","11224.0","1806.0","7812.0","6329.0","1483.0","5218.0","4895.0","323.0","2014.0","1382.0","632.0","1881.0","1288.0","593.0","133.0","94.0","39.0","1279.0","1083.0","196.0"
"OK","8.0","4625.0","2988.0","1637.0","3236.0","2070.0","1166.0","1389.0","918.0","471.0","793.0","418.0","375.0","568.0","307.0","261.0","225.0","111.0","114.0","356.0","301.0","55.0"
"OR","7.0","17254.0","7012.0","10242.0","9445.0","3249.0","6196.0","7809.0","3763.0","4046.0","3739.0","916.0","2823.0","3017.0","704.0","2313.0","722.0","212.0","510.0","1474.0","655.0","819.0"
"PA","18.0","15096.0","14036.0","1060.0","7867.0","6872.0","995.0","7229.0","7164.0","65.0","1719.0","1139.0","580.0","1508.0","938.0","570.0","211.0","201.0","10.0","1392.0","1262.0","130.0"
"PR","2.0","2900.0","1034.0","1866.0","2346.0","796.0","1550.0","554.0","238.0","316.0","3564.0","564.0","3000.0","1647.0","249.0","1398.0","1917.0","315.0","1602.0","137.0","50.0","87.0"
"RI","1.0","1070.0","1039.0","31.0","652.0","621.0","31.0","418.0","418.0","0.0","176.0","171.0","5.0","176.0","171.0","5.0","0.0","0.0","0.0","123.0","121.0","2.0"
"SC","4.0","5093.0","2954.0","2139.0","3505.0","1967.0","1538.0","1588.0","987.0","601.0","645.0","231.0","414.0","504.0","229.0","275.0","141.0","2.0","139.0","612.0","389.0","223.0"
"SD","1.0","826.0","762.0","64.0","460.0","413.0","47.0","366.0","349.0","17.0","34.0","21.0","13.0","34.0","21.0","13.0","0.0","0.0","0.0","109.0","99.0","10.0"
"TN","10.0","9113.0","5915.0","3198.0","6475.0","4238.0","2237.0","2638.0","1677.0","961.0","1757.0","904.0","853.0","1661.0","828.0","833.0","96.0","76.0","20.0","965.0","732.0","233.0"
"TX","16.0","36911.0","18972.0","17939.0","23577.0","10407.0","13170.0","13334.0","8565.0","4769.0","8223.0","3253.0","4970.0","7390.0","2695.0","4695.0","833.0","558.0","275.0","4891.0","2365.0","2526.0"
"UT","3.0","3130.0","2687.0","443.0","1842.0","1434.0","408.0","1288.0","1253.0","35.0","383.0","284.0","99.0","364.0","265.0","99.0","19.0","19.0","0.0","345.0","310.0","35.0"
"VA","20.0","8816.0","7386.0","1430.0","5231.0","4017.0","1214.0","3585.0","3369.0","216.0","1643.0","1029.0","614.0","1571.0","973.0","598.0","72.0","56.0","16.0","931.0","768.0","163.0"
"VI","1.0","532.0","154.0","378.0","450.0","72.0","378.0","82.0","82.0","0.0","195.0","4.0","191.0","195.0","4.0","191.0","0.0","0.0","0.0","32.0","0.0","32.0"
"VT","2.0","1144.0","1021.0","123.0","637.0","533.0","104.0","507.0","488.0","19.0","114.0","87.0","27.0","94.0","67.0","27.0","20.0","20.0","0.0","81.0","75.0","6.0"
"WA","7.0","20439.0","15075.0","5364.0","10868.0","6218.0","4650.0","9571.0","8857.0","714.0","2388.0","1313.0","1075.0","2136.0","1211.0","925.0","252.0","102.0","150.0","1478.0","1167.0","311.0"
"WI","4.0","5785.0","5355.0","430.0","2838.0","2504.0","334.0","2947.0","2851.0","96.0","497.0","425.0","72.0","410.0","347.0","63.0","87.0","78.0","9.0","607.0","584.0","23.0"
"WV","4.0","2211.0","1405.0","806.0","1662.0","992.0","670.0","549.0","413.0","136.0","299.0","189.0","110.0","287.0","179.0","108.0","12.0","10.0","2.0","302.0","236.0","66.0"
"WY","1.0","1038.0","195.0","843.0","320.0","127.0","193.0","718.0","68.0","650.0","104.0","27.0","77.0","82.0","27.0","55.0","22.0","0.0","22.0","83.0","39.0","44.0"
"Total","432.0","623788.0","392316.0","231472.0","387613.0","205834.0","181779.0","236175.0","186482.0","49693.0","119033.0","46169.0","72864.0","103522.0","38971.0","64551.0","15511.0","7198.0","8313.0","65455.0","40033.0","25422.0"
