"State","Number of CoCs","Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
"KY","3.0","4538.0","3796.0","742.0","3151.0","2622.0","529.0","1387.0","1174.0","213.0","457.0","413.0","44.0","383.0","345.0","38.0","74.0","68.0","6.0","591.0","541.0","50.0","248.0","194.0","54.0","27.0","27.0","0.0","221.0","167.0","54.0","75.0","64.0","11.0","0.0","0.0","0.0","75.0","64.0","11.0","99.0","90.0","9.0"
"LA","9.0","4081.0","2890.0","1191.0","3217.0","2053.0","1164.0","864.0","837.0","27.0","773.0","287.0","486.0","735.0","255.0","480.0","38.0","32.0","6.0","392.0","350.0","42.0","389.0","233.0","156.0","30.0","27.0","3.0","359.0","206.0","153.0","61.0","61.0","0.0","0.0","0.0","0.0","61.0","61.0","0.0","105.0","105.0","0.0"
"MA","16.0","21135.0","20542.0","593.0","6378.0","5814.0","564.0","14757.0","14728.0","29.0","2561.0","2320.0","241.0","1411.0","1170.0","241.0","1150.0","1150.0","0.0","1133.0","1101.0","32.0","415.0","384.0","31.0","5.0","4.0","1.0","410.0","380.0","30.0","839.0","839.0","0.0","10.0","10.0","0.0","829.0","829.0","0.0","1070.0","1070.0","0.0"
"MD","16.0","8390.0","6594.0","1796.0","5383.0","3987.0","1396.0","3007.0","2607.0","400.0","1847.0","1016.0","831.0","1634.0","923.0","711.0","213.0","93.0","120.0","714.0","586.0","128.0","481.0","327.0","154.0","54.0","22.0","32.0","427.0","305.0","122.0","138.0","126.0","12.0","0.0","0.0","0.0","138.0","126.0","12.0","217.0","204.0","13.0"
"ME","2.0","2372.0","2313.0","59.0","1219.0","1170.0","49.0","1153.0","1143.0","10.0","217.0","203.0","14.0","193.0","179.0","14.0","24.0","24.0","0.0","151.0","142.0","9.0","146.0","145.0","1.0","18.0","18.0","0.0","128.0","127.0","1.0","56.0","55.0","1.0","0.0","0.0","0.0","56.0","55.0","1.0","67.0","65.0","2.0"
"MI","21.0","10516.0","9444.0","1072.0","6546.0","5553.0","993.0","3970.0","3891.0","79.0","935.0","621.0","314.0","830.0","519.0","311.0","105.0","102.0","3.0","1067.0","991.0","76.0","975.0","880.0","95.0","160.0","153.0","7.0","815.0","727.0","88.0","262.0","260.0","2.0","0.0","0.0","0.0","262.0","260.0","2.0","400.0","396.0","4.0"
"MN","10.0","7546.0","6705.0","841.0","3622.0","2987.0","635.0","3924.0","3718.0","206.0","1396.0","1054.0","342.0","1124.0","833.0","291.0","272.0","221.0","51.0","297.0","253.0","44.0","733.0","639.0","94.0","131.0","113.0","18.0","602.0","526.0","76.0","276.0","260.0","16.0","13.0","12.0","1.0","263.0","248.0","15.0","373.0","352.0","21.0"
"MO","8.0","6482.0","5411.0","1071.0","3434.0","2640.0","794.0","3048.0","2771.0","277.0","1025.0","652.0","373.0","875.0","536.0","339.0","150.0","116.0","34.0","540.0","430.0","110.0","474.0","393.0","81.0","101.0","83.0","18.0","373.0","310.0","63.0","109.0","104.0","5.0","7.0","7.0","0.0","102.0","97.0","5.0","173.0","165.0","8.0"
"MP","0.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MS","3.0","1983.0","1141.0","842.0","1475.0","693.0","782.0","508.0","448.0","60.0","243.0","67.0","176.0","233.0","67.0","166.0","10.0","0.0","10.0","206.0","87.0","119.0","93.0","55.0","38.0","25.0","25.0","0.0","68.0","30.0","38.0","9.0","7.0","2.0","0.0","0.0","0.0","9.0","7.0","2.0","21.0","13.0","8.0"
"MT","1.0","1709.0","837.0","872.0","1127.0","478.0","649.0","582.0","359.0","223.0","166.0","26.0","140.0","154.0","23.0","131.0","12.0","3.0","9.0","277.0","98.0","179.0","171.0","41.0","130.0","13.0","6.0","7.0","158.0","35.0","123.0","41.0","26.0","15.0","9.0","7.0","2.0","32.0","19.0","13.0","55.0","31.0","24.0"
"NC","12.0","10685.0","8260.0","2425.0","7156.0","5372.0","1784.0","3529.0","2888.0","641.0","1364.0","682.0","682.0","1253.0","605.0","648.0","111.0","77.0","34.0","1092.0","904.0","188.0","631.0","468.0","163.0","79.0","63.0","16.0","552.0","405.0","147.0","115.0","90.0","25.0","2.0","2.0","0.0","113.0","88.0","25.0","159.0","130.0","29.0"
"ND","1.0","1305.0","819.0","486.0","864.0","591.0","273.0","441.0","228.0","213.0","138.0","68.0","70.0","70.0","52.0","18.0","68.0","16.0","52.0","137.0","90.0","47.0","142.0","113.0","29.0","18.0","18.0","0.0","124.0","95.0","29.0","11.0","11.0","0.0","0.0","0.0","0.0","11.0","11.0","0.0","17.0","17.0","0.0"
"NE","3.0","2744.0","2621.0","123.0","1720.0","1597.0","123.0","1024.0","1024.0","0.0","322.0","266.0","56.0","257.0","201.0","56.0","65.0","65.0","0.0","247.0","231.0","16.0","238.0","220.0","18.0","29.0","29.0","0.0","209.0","191.0","18.0","47.0","47.0","0.0","0.0","0.0","0.0","47.0","47.0","0.0","69.0","69.0","0.0"
"NH","3.0","1445.0","1313.0","132.0","778.0","666.0","112.0","667.0","647.0","20.0","317.0","260.0","57.0","257.0","205.0","52.0","60.0","55.0","5.0","138.0","124.0","14.0","91.0","82.0","9.0","6.0","5.0","1.0","85.0","77.0","8.0","35.0","35.0","0.0","0.0","0.0","0.0","35.0","35.0","0.0","40.0","40.0","0.0"
"NJ","16.0","10098.0","9124.0","974.0","6189.0","5293.0","896.0","3909.0","3831.0","78.0","1410.0","972.0","438.0","1182.0","752.0","430.0","228.0","220.0","8.0","696.0","616.0","80.0","643.0","587.0","56.0","47.0","47.0","0.0","596.0","540.0","56.0","369.0","367.0","2.0","0.0","0.0","0.0","369.0","367.0","2.0","492.0","487.0","5.0"
"NM","2.0","2629.0","2175.0","454.0","1666.0","1237.0","429.0","963.0","938.0","25.0","716.0","445.0","271.0","621.0","360.0","261.0","95.0","85.0","10.0","278.0","214.0","64.0","193.0","168.0","25.0","54.0","53.0","1.0","139.0","115.0","24.0","33.0","33.0","0.0","0.0","0.0","0.0","33.0","33.0","0.0","52.0","52.0","0.0"
"NV","3.0","8743.0","4528.0","4215.0","7858.0","3646.0","4212.0","885.0","882.0","3.0","594.0","117.0","477.0","585.0","108.0","477.0","9.0","9.0","0.0","860.0","516.0","344.0","2310.0","288.0","2022.0","825.0","9.0","816.0","1485.0","279.0","1206.0","48.0","48.0","0.0","5.0","5.0","0.0","43.0","43.0","0.0","74.0","74.0","0.0"
"NY","27.0","88250.0","84228.0","4022.0","36135.0","32172.0","3963.0","52115.0","52056.0","59.0","7116.0","4733.0","2383.0","4327.0","1982.0","2345.0","2789.0","2751.0","38.0","2399.0","2268.0","131.0","2626.0","2367.0","259.0","133.0","128.0","5.0","2493.0","2239.0","254.0","2470.0","2463.0","7.0","10.0","9.0","1.0","2460.0","2454.0","6.0","3013.0","3006.0","7.0"
"OH","9.0","11182.0","10083.0","1099.0","7565.0","6590.0","975.0","3617.0","3493.0","124.0","1275.0","887.0","388.0","1160.0","782.0","378.0","115.0","105.0","10.0","1183.0","1073.0","110.0","770.0","665.0","105.0","49.0","47.0","2.0","721.0","618.0","103.0","237.0","236.0","1.0","3.0","3.0","0.0","234.0","233.0","1.0","355.0","352.0","3.0"
"OK","8.0","3777.0","2999.0","778.0","2781.0","2111.0","670.0","996.0","888.0","108.0","581.0","342.0","239.0","508.0","289.0","219.0","73.0","53.0","20.0","351.0","253.0","98.0","460.0","315.0","145.0","84.0","40.0","44.0","376.0","275.0","101.0","50.0","48.0","2.0","0.0","0.0","0.0","50.0","48.0","2.0","92.0","91.0","1.0"
"OR","7.0","13226.0","5831.0","7395.0","9461.0","4048.0","5413.0","3765.0","1783.0","1982.0","4011.0","1008.0","3003.0","3521.0","921.0","2600.0","490.0","87.0","403.0","1464.0","769.0","695.0","1350.0","448.0","902.0","388.0","62.0","326.0","962.0","386.0","576.0","135.0","88.0","47.0","0.0","0.0","0.0","135.0","88.0","47.0","155.0","101.0","54.0"
"PA","16.0","15421.0","13993.0","1428.0","8605.0","7276.0","1329.0","6816.0","6717.0","99.0","1590.0","1040.0","550.0","1442.0","909.0","533.0","148.0","131.0","17.0","1375.0","1295.0","80.0","871.0","745.0","126.0","37.0","28.0","9.0","834.0","717.0","117.0","573.0","573.0","0.0","4.0","4.0","0.0","569.0","569.0","0.0","792.0","792.0","0.0"
"PR","2.0","4518.0","1421.0","3097.0","3929.0","1029.0","2900.0","589.0","392.0","197.0","1756.0","195.0","1561.0","1615.0","195.0","1420.0","141.0","0.0","141.0","164.0","55.0","109.0","173.0","62.0","111.0","13.0","11.0","2.0","160.0","51.0","109.0","35.0","31.0","4.0","0.0","0.0","0.0","35.0","31.0","4.0","57.0","49.0","8.0"
"RI","1.0","1111.0","1075.0","36.0","706.0","673.0","33.0","405.0","402.0","3.0","130.0","118.0","12.0","110.0","100.0","10.0","20.0","18.0","2.0","107.0","105.0","2.0","47.0","39.0","8.0","4.0","4.0","0.0","43.0","35.0","8.0","35.0","35.0","0.0","0.0","0.0","0.0","35.0","35.0","0.0","44.0","44.0","0.0"
"SC","4.0","5354.0","3458.0","1896.0","3934.0","2465.0","1469.0","1420.0","993.0","427.0","1020.0","525.0","495.0","916.0","456.0","460.0","104.0","69.0","35.0","681.0","470.0","211.0","195.0","126.0","69.0","13.0","12.0","1.0","182.0","114.0","68.0","63.0","59.0","4.0","1.0","0.0","1.0","62.0","59.0","3.0","95.0","87.0","8.0"
"SD","1.0","1036.0","900.0","136.0","630.0","506.0","124.0","406.0","394.0","12.0","95.0","67.0","28.0","85.0","59.0","26.0","10.0","8.0","2.0","177.0","170.0","7.0","108.0","83.0","25.0","8.0","8.0","0.0","100.0","75.0","25.0","29.0","29.0","0.0","0.0","0.0","0.0","29.0","29.0","0.0","36.0","36.0","0.0"
"TN","10.0","9123.0","5879.0","3244.0","6516.0","4075.0","2441.0","2607.0","1804.0","803.0","1650.0","702.0","948.0","1492.0","648.0","844.0","158.0","54.0","104.0","945.0","756.0","189.0","673.0","454.0","219.0","14.0","3.0","11.0","659.0","451.0","208.0","65.0","36.0","29.0","0.0","0.0","0.0","65.0","36.0","29.0","94.0","49.0","45.0"
"TX","11.0","23678.0","16192.0","7486.0","16265.0","9234.0","7031.0","7413.0","6958.0","455.0","4304.0","1915.0","2389.0","3778.0","1543.0","2235.0","526.0","372.0","154.0","2393.0","1490.0","903.0","1416.0","797.0","619.0","218.0","185.0","33.0","1198.0","612.0","586.0","161.0","158.0","3.0","3.0","3.0","0.0","158.0","155.0","3.0","252.0","244.0","8.0"
"UT","3.0","3025.0","2799.0","226.0","1809.0","1605.0","204.0","1216.0","1194.0","22.0","233.0","215.0","18.0","178.0","165.0","13.0","55.0","50.0","5.0","337.0","313.0","24.0","132.0","106.0","26.0","11.0","11.0","0.0","121.0","95.0","26.0","34.0","34.0","0.0","0.0","0.0","0.0","34.0","34.0","0.0","40.0","40.0","0.0"
"VA","16.0","7001.0","6190.0","811.0","4190.0","3434.0","756.0","2811.0","2756.0","55.0","1158.0","789.0","369.0","1041.0","702.0","339.0","117.0","87.0","30.0","604.0","513.0","91.0","330.0","288.0","42.0","12.0","12.0","0.0","318.0","276.0","42.0","129.0","127.0","2.0","0.0","0.0","0.0","129.0","127.0","2.0","187.0","186.0","1.0"
"VI","1.0","337.0","85.0","252.0","308.0","56.0","252.0","29.0","29.0","0.0","22.0","4.0","18.0","22.0","4.0","18.0","0.0","0.0","0.0","34.0","4.0","30.0","12.0","4.0","8.0","0.0","0.0","0.0","12.0","4.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"VT","2.0","1523.0","1373.0","150.0","910.0","775.0","135.0","613.0","598.0","15.0","166.0","111.0","55.0","139.0","84.0","55.0","27.0","27.0","0.0","119.0","113.0","6.0","101.0","87.0","14.0","4.0","3.0","1.0","97.0","84.0","13.0","34.0","34.0","0.0","1.0","1.0","0.0","33.0","33.0","0.0","35.0","35.0","0.0"
"WA","7.0","19419.0","12298.0","7121.0","12526.0","6200.0","6326.0","6893.0","6098.0","795.0","2482.0","1027.0","1455.0","2261.0","908.0","1353.0","221.0","119.0","102.0","1293.0","886.0","407.0","1341.0","700.0","641.0","154.0","91.0","63.0","1187.0","609.0","578.0","310.0","296.0","14.0","12.0","11.0","1.0","298.0","285.0","13.0","351.0","342.0","9.0"
"WI","4.0","6057.0","5615.0","442.0","2992.0","2647.0","345.0","3065.0","2968.0","97.0","464.0","377.0","87.0","361.0","277.0","84.0","103.0","100.0","3.0","534.0","515.0","19.0","334.0","287.0","47.0","33.0","25.0","8.0","301.0","262.0","39.0","195.0","184.0","11.0","0.0","0.0","0.0","195.0","184.0","11.0","284.0","270.0","14.0"
"WV","4.0","1835.0","1403.0","432.0","1414.0","1049.0","365.0","421.0","354.0","67.0","386.0","226.0","160.0","352.0","192.0","160.0","34.0","34.0","0.0","305.0","227.0","78.0","145.0","103.0","42.0","11.0","11.0","0.0","134.0","92.0","42.0","23.0","16.0","7.0","3.0","3.0","0.0","20.0","13.0","7.0","29.0","21.0","8.0"
"WY","1.0","798.0","507.0","291.0","500.0","292.0","208.0","298.0","215.0","83.0","102.0","37.0","65.0","86.0","35.0","51.0","16.0","2.0","14.0","112.0","83.0","29.0","37.0","26.0","11.0","4.0","2.0","2.0","33.0","24.0","9.0","12.0","11.0","1.0","0.0","0.0","0.0","12.0","11.0","1.0","20.0","19.0","1.0"
"Total","406.0","564708.0","391440.0","173268.0","358422.0","205616.0","152806.0","206286.0","185824.0","20462.0","96275.0","36767.0","59508.0","83170.0","28355.0","54815.0","13105.0","8412.0","4693.0","47725.0","31505.0","16220.0","36907.0","19838.0","17069.0","4667.0","2287.0","2380.0","32240.0","17551.0","14689.0","9901.0","9462.0","439.0","126.0","118.0","8.0","9775.0","9344.0","431.0","13242.0","12669.0","573.0"
