"State","Number of CoCs","Total Homeless, 2009","Sheltered Homeless, 2009","Unsheltered Homeless, 2009","Homeless Individuals, 2009","Sheltered Homeless Individuals, 2009","Unsheltered Homeless Individuals, 2009","Homeless People in Families, 2009","Sheltered Homeless People in Families, 2009","Unsheltered Homeless People in Families, 2009","Chronically Homeless Individuals, 2009","Sheltered Chronically Homeless Individuals, 2009","Unsheltered Chronically Homeless Individuals, 2009","Homeless Veterans, 2009","Sheltered Homeless Veterans, 2009","Unsheltered Homeless Veterans, 2009"
"AK","2.0","1992.0","1665.0","327.0","1239.0","989.0","250.0","753.0","676.0","77.0","323.0","245.0","78.0","259.0","222.0","37.0"
"AL","8.0","6080.0","3913.0","2167.0","4686.0","3031.0","1655.0","1394.0","882.0","512.0","1189.0","652.0","537.0","1063.0","858.0","205.0"
"AR","6.0","2852.0","1730.0","1122.0","2181.0","1297.0","884.0","671.0","433.0","238.0","406.0","146.0","260.0","249.0","168.0","82.0"
"AZ","3.0","14721.0","8366.0","6355.0","9959.0","4291.0","5668.0","4762.0","4075.0","687.0","2229.0","538.0","1691.0","2343.0","1216.0","1127.0"
"CA","43.0","123678.0","50777.0","72901.0","97534.0","32417.0","65117.0","26144.0","18360.0","7784.0","31412.0","7001.0","24411.0","17973.0","6799.0","11174.0"
"CO","3.0","15268.0","9031.0","6237.0","7401.0","4576.0","2825.0","7867.0","4455.0","3412.0","1286.0","510.0","776.0","1471.0","964.0","507.0"
"CT","12.0","4605.0","4103.0","502.0","2773.0","2288.0","485.0","1832.0","1815.0","17.0","824.0","640.0","184.0","462.0","401.0","61.0"
"DC","1.0","6228.0","5907.0","321.0","3934.0","3613.0","321.0","2294.0","2294.0","0.0","1923.0","1632.0","291.0","642.0","613.0","29.0"
"DE","1.0","1130.0","1083.0","47.0","776.0","729.0","47.0","354.0","354.0","0.0","167.0","150.0","17.0","100.0","91.0","9.0"
"FL","28.0","55599.0","21867.0","33732.0","34432.0","13827.0","20605.0","21167.0","8040.0","13127.0","9062.0","3493.0","5569.0","7135.0","2907.0","4228.0"
"GA","7.0","20360.0","9419.0","10941.0","14365.0","5765.0","8600.0","5995.0","3654.0","2341.0","3771.0","1620.0","2151.0","2760.0","1373.0","1387.0"
"GU","1.0","1088.0","182.0","906.0","391.0","52.0","339.0","697.0","130.0","567.0","87.0","19.0","68.0","22.0","3.0","19.0"
"HI","2.0","5782.0","3268.0","2514.0","2941.0","1009.0","1932.0","2841.0","2259.0","582.0","772.0","124.0","648.0","499.0","234.0","265.0"
"IA","3.0","3380.0","3221.0","159.0","1655.0","1524.0","131.0","1725.0","1697.0","28.0","306.0","238.0","68.0","270.0","247.0","23.0"
"ID","2.0","1939.0","1477.0","462.0","1117.0","821.0","296.0","822.0","656.0","166.0","210.0","157.0","53.0","270.0","194.0","76.0"
"IL","21.0","14055.0","11851.0","2204.0","7475.0","5642.0","1833.0","6580.0","6209.0","371.0","2212.0","1564.0","648.0","1028.0","801.0","227.0"
"IN","3.0","6984.0","5206.0","1778.0","4151.0","2687.0","1464.0","2833.0","2519.0","314.0","765.0","505.0","260.0","740.0","586.0","154.0"
"KS","5.0","1892.0","1696.0","196.0","1238.0","1086.0","152.0","654.0","610.0","44.0","238.0","196.0","42.0","638.0","578.0","60.0"
"KY","3.0","5999.0","5299.0","700.0","3302.0","2765.0","537.0","2697.0","2534.0","163.0","671.0","491.0","180.0","675.0","597.0","78.0"
"LA","9.0","12504.0","4118.0","8386.0","10098.0","2387.0","7711.0","2406.0","1731.0","675.0","4815.0","226.0","4589.0","1985.0","441.0","1544.0"
"MA","20.0","15482.0","14476.0","1006.0","7057.0","6174.0","883.0","8425.0","8302.0","123.0","1937.0","1490.0","447.0","1890.0","1709.0","181.0"
"MD","16.0","11698.0","7446.0","4252.0","6641.0","4623.0","2018.0","5057.0","2823.0","2234.0","2062.0","1243.0","819.0","932.0","698.0","234.0"
"ME","3.0","2444.0","2406.0","38.0","1124.0","1092.0","32.0","1320.0","1314.0","6.0","186.0","178.0","8.0","123.0","119.0","4.0"
"MI","22.0","14005.0","11298.0","2707.0","7857.0","6019.0","1838.0","6148.0","5279.0","869.0","1649.0","1171.0","478.0","1054.0","877.0","177.0"
"MN","11.0","7718.0","6772.0","946.0","3393.0","2668.0","725.0","4325.0","4104.0","221.0","1449.0","1129.0","320.0","525.0","441.0","84.0"
"MO","8.0","6959.0","5469.0","1490.0","3823.0","2933.0","890.0","3136.0","2536.0","600.0","892.0","691.0","201.0","699.0","569.0","130.0"
"MP","0.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"MS","3.0","2797.0","1221.0","1576.0","1843.0","655.0","1188.0","954.0","566.0","388.0","522.0","152.0","370.0","358.0","197.0","161.0"
"MT","1.0","1196.0","833.0","363.0","752.0","481.0","271.0","444.0","352.0","92.0","160.0","107.0","53.0","206.0","128.0","78.0"
"NC","12.0","12918.0","8473.0","4445.0","9159.0","5576.0","3583.0","3759.0","2897.0","862.0","1490.0","1107.0","383.0","1118.0","854.0","264.0"
