"CoC Number","CoC Name","Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008"
"AK-500","Anchorage CoC","1023.0","921.0","102.0","695.0","596.0","99.0","328.0","325.0","3.0","300.0","239.0","61.0"
"AK-501","Alaska Balance of State CoC","623.0","531.0","92.0","372.0","316.0","56.0","251.0","215.0","36.0","139.0","116.0","23.0"
"AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","2104.0","1240.0","864.0","1529.0","833.0","696.0","575.0","407.0","168.0","516.0","269.0","247.0"
"AL-501","Mobile City & County/Baldwin County CoC","524.0","341.0","183.0","350.0","180.0","170.0","174.0","161.0","13.0","73.0","34.0","39.0"
"AL-502","Florence/Northwest Alabama CoC","249.0","178.0","71.0","173.0","128.0","45.0","76.0","50.0","26.0","5.0","2.0","3.0"
"AL-503","Huntsville/North Alabama CoC","714.0","637.0","77.0","596.0","519.0","77.0","118.0","118.0","0.0","279.0","202.0","77.0"
"AL-504","Montgomery City & County CoC","444.0","327.0","117.0","370.0","262.0","108.0","74.0","65.0","9.0","103.0","38.0","65.0"
"AL-505","Gadsden/Northeast Alabama CoC","298.0","262.0","36.0","206.0","181.0","25.0","92.0","81.0","11.0","8.0","7.0","1.0"
"AL-506","Tuscaloosa City & County CoC","196.0","192.0","4.0","170.0","166.0","4.0","26.0","26.0","0.0","25.0","21.0","4.0"
"AL-507","Alabama Balance of State CoC","858.0","666.0","192.0","692.0","534.0","158.0","166.0","132.0","34.0","43.0","6.0","37.0"
"AR-500","Little Rock/Central Arkansas CoC","1811.0","1176.0","635.0","1621.0","998.0","623.0","190.0","178.0","12.0","491.0","300.0","191.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","313.0","273.0","40.0","235.0","203.0","32.0","78.0","70.0","8.0","34.0","25.0","9.0"
"AR-502","Conway/Arkansas River Valley","163.0","59.0","104.0","87.0","19.0","68.0","76.0","40.0","36.0","15.0","0.0","15.0"
"AR-504","Delta Hills CoC","817.0","374.0","443.0","626.0","347.0","279.0","191.0","27.0","164.0","327.0","142.0","185.0"
"AR-505","Southeast Arkansas","130.0","120.0","10.0","35.0","32.0","3.0","95.0","88.0","7.0","25.0","25.0","0.0"
"AR-506","Johnson, Pope, Yell Counties","21.0","18.0","3.0","21.0","18.0","3.0","0.0","0.0","0.0","1.0","0.0","1.0"
"AZ-500","Arizona Balance of State CoC","2940.0","956.0","1984.0","2162.0","459.0","1703.0","778.0","497.0","281.0","408.0","76.0","332.0"
"AZ-501","Tucson/Pima County CoC","2359.0","1251.0","1108.0","1580.0","608.0","972.0","779.0","643.0","136.0","1502.0","784.0","718.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","7189.0","4763.0","2426.0","4686.0","2309.0","2377.0","2503.0","2454.0","49.0","1187.0","363.0","824.0"
"CA-500","San Jose/Santa Clara City & County CoC","7202.0","2101.0","5101.0","5945.0","1105.0","4840.0","1257.0","996.0","261.0","1757.0","223.0","1534.0"
"CA-501","San Francisco CoC","5171.0","2400.0","2771.0","4639.0","1888.0","2751.0","532.0","512.0","20.0","1735.0","738.0","997.0"
"CA-502","Oakland/Alameda County CoC","4838.0","2342.0","2496.0","3026.0","1257.0","1769.0","1812.0","1085.0","727.0","1257.0","318.0","939.0"
"CA-503","Sacramento City & County CoC","2615.0","1349.0","1266.0","2173.0","940.0","1233.0","442.0","409.0","33.0","680.0","238.0","442.0"
"CA-504","Santa Rosa/Petaluma/Sonoma County CoC","1314.0","782.0","532.0","888.0","407.0","481.0","426.0","375.0","51.0","297.0","79.0","218.0"
"CA-505","Richmond/Contra Costa County CoC","4062.0","903.0","3159.0","2892.0","332.0","2560.0","1170.0","571.0","599.0","1225.0","88.0","1137.0"
"CA-506","Salinas/Monterey, San Benito Counties CoC","1402.0","509.0","893.0","1149.0","262.0","887.0","253.0","247.0","6.0","336.0","27.0","309.0"
"CA-507","Marin County CoC","1002.0","602.0","400.0","846.0","465.0","381.0","156.0","137.0","19.0","172.0","41.0","131.0"
"CA-508","Watsonville/Santa Cruz City & County CoC","2789.0","486.0","2303.0","2408.0","261.0","2147.0","381.0","225.0","156.0","1161.0","68.0","1093.0"
"CA-509","Mendocino County CoC","1423.0","285.0","1138.0","1193.0","165.0","1028.0","230.0","120.0","110.0","520.0","136.0","384.0"
"CA-510","Turlock/Modesto/Stanislaus County CoC","1593.0","634.0","959.0","1001.0","282.0","719.0","592.0","352.0","240.0","552.0","82.0","470.0"
"CA-511","Stockton/San Joaquin County CoC","2354.0","2051.0","303.0","1532.0","1292.0","240.0","822.0","759.0","63.0","202.0","144.0","58.0"
"CA-512","Daly/San Mateo County CoC","1798.0","704.0","1094.0","1388.0","310.0","1078.0","410.0","394.0","16.0","475.0","25.0","450.0"
"CA-513","Visalia, Kings, Tulare Counties CoC","1040.0","189.0","851.0","468.0","101.0","367.0","572.0","88.0","484.0","88.0","8.0","80.0"
"CA-514","Fresno/Madera County CoC","3507.0","1951.0","1556.0","1966.0","1285.0","681.0","1541.0","666.0","875.0","508.0","145.0","363.0"
"CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","587.0","450.0","137.0","368.0","244.0","124.0","219.0","206.0","13.0","48.0","22.0","26.0"
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","263.0","201.0","62.0","186.0","131.0","55.0","77.0","70.0","7.0","85.0","40.0","45.0"
"CA-517","Napa City & County CoC","365.0","219.0","146.0","236.0","114.0","122.0","129.0","105.0","24.0","150.0","52.0","98.0"
"CA-518","Vallejo/Solano County CoC","1956.0","457.0","1499.0","818.0","225.0","593.0","1138.0","232.0","906.0","524.0","31.0","493.0"
"CA-519","Chico/Paradise/Butte County CoC","592.0","322.0","270.0","441.0","201.0","240.0","151.0","121.0","30.0","202.0","78.0","124.0"
"CA-520","Merced City & County CoC","2455.0","135.0","2320.0","2072.0","100.0","1972.0","383.0","35.0","348.0","728.0","27.0","701.0"
"CA-521","Davis/Woodland/Yolo County CoC","414.0","228.0","186.0","292.0","110.0","182.0","122.0","118.0","4.0","93.0","15.0","78.0"
"CA-522","Humboldt County CoC","907.0","322.0","585.0","366.0","139.0","227.0","541.0","183.0","358.0","219.0","29.0","190.0"
"CA-523","Colusa, Glenn, Trinity Counties CoC","193.0","0.0","193.0","131.0","0.0","131.0","62.0","0.0","62.0","78.0","0.0","78.0"
"CA-524","Yuba City & County/Sutter County CoC","594.0","483.0","111.0","247.0","176.0","71.0","347.0","307.0","40.0","67.0","28.0","39.0"
"CA-525","El Dorado County CoC","150.0","75.0","75.0","128.0","53.0","75.0","22.0","22.0","0.0","12.0","7.0","5.0"
"CA-526","Amador, Calaveras, Tuolumne and Mariposa Counties CoC","400.0","79.0","321.0","252.0","26.0","226.0","148.0","53.0","95.0","90.0","14.0","76.0"
"CA-600","Los Angeles City & County CoC","47862.0","11442.0","36420.0","44185.0","8417.0","35768.0","3677.0","3025.0","652.0","19031.0","1604.0","17427.0"
"CA-601","San Diego City and County CoC","8455.0","4417.0","4038.0","5995.0","2241.0","3754.0","2460.0","2176.0","284.0","1231.0","578.0","653.0"
"CA-602","Santa Ana/Anaheim/Orange County CoC","3649.0","2578.0","1071.0","2112.0","1296.0","816.0","1537.0","1282.0","255.0","257.0","36.0","221.0"
"CA-603","Santa Maria/Santa Barbara County CoC","4253.0","1480.0","2773.0","3212.0","711.0","2501.0","1041.0","769.0","272.0","503.0","244.0","259.0"
"CA-604","Bakersfield/Kern County CoC","1537.0","905.0","632.0","1248.0","646.0","602.0","289.0","259.0","30.0","316.0","69.0","247.0"
"CA-606","Long Beach CoC","3829.0","1679.0","2150.0","2814.0","1189.0","1625.0","1015.0","490.0","525.0","1112.0","484.0","628.0"
"CA-607","Pasadena CoC","983.0","434.0","549.0","690.0","298.0","392.0","293.0","136.0","157.0","282.0","59.0","223.0"
"CA-608","Riverside City & County CoC","4508.0","1330.0","3178.0","3343.0","612.0","2731.0","1165.0","718.0","447.0","1003.0","154.0","849.0"
"CA-609","San Bernardino City & County CoC","6969.0","1220.0","5749.0","6191.0","609.0","5582.0","778.0","611.0","167.0","2386.0","142.0","2244.0"
"CA-611","Oxnard/San Buenaventura/Ventura County CoC","1961.0","551.0","1410.0","1180.0","268.0","912.0","781.0","283.0","498.0","301.0","42.0","259.0"
"CA-612","Glendale CoC","296.0","233.0","63.0","161.0","123.0","38.0","135.0","110.0","25.0","79.0","64.0","15.0"
"CA-613","Imperial County CoC","393.0","156.0","237.0","289.0","52.0","237.0","104.0","104.0","0.0","249.0","12.0","237.0"
"CA-614","San Luis Obispo County CoC","850.0","281.0","569.0","579.0","172.0","407.0","271.0","109.0","162.0","243.0","15.0","228.0"
"CO-500","Colorado Balance of State CoC","5188.0","1233.0","3955.0","1829.0","338.0","1491.0","3359.0","895.0","2464.0","475.0","76.0","399.0"
"CO-503","Metropolitan Denver Homeless Initiative","8482.0","4951.0","3531.0","3669.0","2212.0","1457.0","4813.0","2739.0","2074.0","412.0","272.0","140.0"
"CO-504","Colorado Springs/El Paso County CoC","1077.0","693.0","384.0","762.0","434.0","328.0","315.0","259.0","56.0","195.0","101.0","94.0"
"CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","846.0","749.0","97.0","562.0","471.0","91.0","284.0","278.0","6.0","125.0","79.0","46.0"
"CT-505","Connecticut Balance of State CoC","3781.0","3271.0","510.0","2211.0","1714.0","497.0","1570.0","1557.0","13.0","750.0","499.0","251.0"
"DC-500","District of Columbia CoC","6044.0","5666.0","378.0","4208.0","3830.0","378.0","1836.0","1836.0","0.0","2184.0","1840.0","344.0"
"DE-500","Delaware Statewide CoC","933.0","862.0","71.0","652.0","581.0","71.0","281.0","281.0","0.0","248.0","221.0","27.0"
"FL-500","Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1361.0","530.0","831.0","1043.0","353.0","690.0","318.0","177.0","141.0","125.0","27.0","98.0"
"FL-501","Tampa/Hillsborough County CoC","6483.0","1050.0","5433.0","4397.0","584.0","3813.0","2086.0","466.0","1620.0","528.0","147.0","381.0"
"FL-502","St. Petersburg/Clearwater/Largo/Pinellas County CoC","2526.0","1305.0","1221.0","2129.0","911.0","1218.0","397.0","394.0","3.0","611.0","197.0","414.0"
"FL-503","Lakeland/Winter Haven/Polk County CoC","1149.0","708.0","441.0","930.0","525.0","405.0","219.0","183.0","36.0","155.0","105.0","50.0"
"FL-504","Daytona Beach/Daytona/Volusia, Flagler Counties CoC","1801.0","576.0","1225.0","1167.0","264.0","903.0","634.0","312.0","322.0","153.0","0.0","153.0"
"FL-505","Fort Walton Beach/Okaloosa, Walton Counties CoC","1763.0","330.0","1433.0","993.0","289.0","704.0","770.0","41.0","729.0","628.0","187.0","441.0"
"FL-506","Tallahassee/Leon County CoC","590.0","495.0","95.0","434.0","364.0","70.0","156.0","131.0","25.0","150.0","100.0","50.0"
"FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","3734.0","2366.0","1368.0","1797.0","1056.0","741.0","1937.0","1310.0","627.0","1070.0","430.0","640.0"
"FL-508","Gainesville/Alachua, Putnam Counties CoC","744.0","279.0","465.0","590.0","174.0","416.0","154.0","105.0","49.0","199.0","20.0","179.0"
"FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1503.0","298.0","1205.0","747.0","60.0","687.0","756.0","238.0","518.0","163.0","26.0","137.0"
"FL-510","Jacksonville-Duval, Clay Counties CoC","2585.0","1492.0","1093.0","1833.0","740.0","1093.0","752.0","752.0","0.0","621.0","391.0","230.0"
"FL-511","Pensacola/Escambia/Santa Rosa County CoC","1028.0","375.0","653.0","786.0","246.0","540.0","242.0","129.0","113.0","170.0","26.0","144.0"
"FL-512","Saint Johns County CoC","1238.0","106.0","1132.0","1099.0","36.0","1063.0","139.0","70.0","69.0","119.0","0.0","119.0"
"FL-513","Palm Bay/Melbourne/Brevard County CoC","1899.0","502.0","1397.0","1532.0","301.0","1231.0","367.0","201.0","166.0","576.0","25.0","551.0"
"FL-514","Ocala/Marion County CoC","480.0","312.0","168.0","348.0","180.0","168.0","132.0","132.0","0.0","7.0","7.0","0.0"
"FL-515","Panama City/Bay, Jackson Counties CoC","313.0","211.0","102.0","269.0","167.0","102.0","44.0","44.0","0.0","30.0","0.0","30.0"
"FL-517","Hendry, Hardee, Highlands Counties CoC","2968.0","101.0","2867.0","1119.0","63.0","1056.0","1849.0","38.0","1811.0","505.0","8.0","497.0"
"FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","282.0","92.0","190.0","180.0","54.0","126.0","102.0","38.0","64.0","75.0","17.0","58.0"
"FL-519","Pasco County CoC","4074.0","1500.0","2574.0","1178.0","432.0","746.0","2896.0","1068.0","1828.0","894.0","336.0","558.0"
"FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","1104.0","216.0","888.0","586.0","167.0","419.0","518.0","49.0","469.0","21.0","3.0","18.0"
"FL-600","Miami/Dade County CoC","4574.0","3227.0","1347.0","3352.0","2007.0","1345.0","1222.0","1220.0","2.0","461.0","260.0","201.0"
"FL-601","Ft Lauderdale/Broward County CoC","3154.0","2453.0","701.0","2451.0","1814.0","637.0","703.0","639.0","64.0","222.0","59.0","163.0"
"FL-602","Punta Gorda/Charlotte County CoC","730.0","450.0","280.0","635.0","362.0","273.0","95.0","88.0","7.0","273.0","0.0","273.0"
"FL-603","Ft Myers/Cape Coral/Lee County CoC","899.0","386.0","513.0","847.0","348.0","499.0","52.0","38.0","14.0","184.0","21.0","163.0"
"FL-604","Monroe County CoC","1121.0","477.0","644.0","1017.0","410.0","607.0","104.0","67.0","37.0","289.0","120.0","169.0"
"FL-605","West Palm Beach/Palm Beach County CoC","1766.0","727.0","1039.0","1302.0","314.0","988.0","464.0","413.0","51.0","329.0","34.0","295.0"
"FL-606","Naples/Collier County CoC","289.0","160.0","129.0","198.0","110.0","88.0","91.0","50.0","41.0","20.0","9.0","11.0"
"GA-500","Atlanta Continuum of Care","6840.0","4725.0","2115.0","5622.0","3551.0","2071.0","1218.0","1174.0","44.0","1232.0","577.0","655.0"
"GA-501","Georgia Balance of State CoC","9340.0","2267.0","7073.0","5896.0","959.0","4937.0","3444.0","1308.0","2136.0","725.0","178.0","547.0"
"GA-503","Athens/Clarke County CoC","462.0","303.0","159.0","308.0","161.0","147.0","154.0","142.0","12.0","108.0","45.0","63.0"
"GA-504","Augusta CoC","528.0","496.0","32.0","393.0","365.0","28.0","135.0","131.0","4.0","149.0","149.0","0.0"
"GA-505","Columbus-Muscogee/Russell County CoC","618.0","244.0","374.0","559.0","185.0","374.0","59.0","59.0","0.0","99.0","43.0","56.0"
"GA-506","Marietta/Cobb County CoC","537.0","329.0","208.0","346.0","160.0","186.0","191.0","169.0","22.0","154.0","45.0","109.0"
"GA-507","Savannah/Chatham County CoC","770.0","501.0","269.0","604.0","335.0","269.0","166.0","166.0","0.0","204.0","0.0","204.0"
"GU-500","Guam CoC","725.0","103.0","622.0","254.0","53.0","201.0","471.0","50.0","421.0","50.0","39.0","11.0"
"HI-500","Hawaii Balance of State CoC","2311.0","746.0","1565.0","1236.0","337.0","899.0","1075.0","409.0","666.0","553.0","18.0","535.0"
"HI-501","Honolulu CoC","3750.0","1957.0","1793.0","2090.0","754.0","1336.0","1660.0","1203.0","457.0","225.0","114.0","111.0"
"IA-500","Sioux City/Dakota, Woodbury Counties CoC","271.0","260.0","11.0","127.0","116.0","11.0","144.0","144.0","0.0","55.0","55.0","0.0"
"IA-501","Iowa Balance of State CoC","1950.0","1824.0","126.0","766.0","676.0","90.0","1184.0","1148.0","36.0","86.0","75.0","11.0"
"IA-502","Des Moines/Polk County CoC","1125.0","1003.0","122.0","716.0","629.0","87.0","409.0","374.0","35.0","136.0","95.0","41.0"
"ID-500","Boise/Ada County CoC","611.0","553.0","58.0","420.0","362.0","58.0","191.0","191.0","0.0","10.0","0.0","10.0"
"ID-501","Idaho Balance of State","853.0","697.0","156.0","397.0","295.0","102.0","456.0","402.0","54.0","36.0","11.0","25.0"
"IL-500","McHenry County CoC","199.0","195.0","4.0","122.0","118.0","4.0","77.0","77.0","0.0","41.0","37.0","4.0"
"IL-501","Rockford/Winnebago, Boone Counties CoC","575.0","525.0","50.0","321.0","276.0","45.0","254.0","249.0","5.0","110.0","70.0","40.0"
