"CoC Number","CoC Name","Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
"AR-500","Little Rock/Central Arkansas CoC","830.0","491.0","339.0","764.0","430.0","334.0","66.0","61.0","5.0","220.0","78.0","142.0","215.0","75.0","140.0","5.0","3.0","2.0","190.0","153.0","37.0","41.0","30.0","11.0","0.0","0.0","0.0","41.0","30.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-501","Fayetteville/Northwest Arkansas CoC","665.0","604.0","61.0","330.0","273.0","57.0","335.0","331.0","4.0","202.0","172.0","30.0","118.0","92.0","26.0","84.0","80.0","4.0","197.0","186.0","11.0","38.0","27.0","11.0","0.0","0.0","0.0","38.0","27.0","11.0","22.0","22.0","0.0","0.0","0.0","0.0","22.0","22.0","0.0","20.0","20.0","0.0"
"AR-503","Arkansas  Balance of State  CoC","728.0","363.0","365.0","486.0","239.0","247.0","242.0","124.0","118.0","99.0","32.0","67.0","91.0","30.0","61.0","8.0","2.0","6.0","22.0","14.0","8.0","81.0","20.0","61.0","0.0","0.0","0.0","81.0","20.0","61.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-504","Delta Hills CoC","40.0","40.0","0.0","33.0","33.0","0.0","7.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-505","Southeast Arkansas","72.0","71.0","1.0","51.0","50.0","1.0","21.0","21.0","0.0","2.0","2.0","0.0","2.0","2.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","6.0","5.0","1.0","0.0","0.0","0.0","6.0","5.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-508","Old Fort Homeless Coalition","179.0","87.0","92.0","150.0","58.0","92.0","29.0","29.0","0.0","90.0","34.0","56.0","90.0","34.0","56.0","0.0","0.0","0.0","33.0","18.0","15.0","17.0","11.0","6.0","0.0","0.0","0.0","17.0","11.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AR-512","Boone, Baxter, Marion, Newton Counties CoC","46.0","22.0","24.0","19.0","6.0","13.0","27.0","16.0","11.0","10.0","1.0","9.0","8.0","1.0","7.0","2.0","0.0","2.0","0.0","0.0","0.0","5.0","2.0","3.0","0.0","0.0","0.0","5.0","2.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AZ-500","Arizona Balance of State CoC","2402.0","1097.0","1305.0","1723.0","633.0","1090.0","679.0","464.0","215.0","542.0","20.0","522.0","475.0","20.0","455.0","67.0","0.0","67.0","516.0","107.0","409.0","115.0","63.0","52.0","20.0","16.0","4.0","95.0","47.0","48.0","15.0","6.0","9.0","6.0","6.0","0.0","9.0","0.0","9.0","21.0","14.0","7.0"
"AZ-501","Tucson/Pima County CoC","1863.0","1500.0","363.0","1296.0","951.0","345.0","567.0","549.0","18.0","344.0","102.0","242.0","328.0","92.0","236.0","16.0","10.0","6.0","285.0","246.0","39.0","126.0","103.0","23.0","9.0","9.0","0.0","117.0","94.0","23.0","40.0","39.0","1.0","0.0","0.0","0.0","40.0","39.0","1.0","51.0","49.0","2.0"
"AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","5631.0","4342.0","1289.0","3529.0","2240.0","1289.0","2102.0","2102.0","0.0","480.0","222.0","258.0","443.0","185.0","258.0","37.0","37.0","0.0","419.0","319.0","100.0","380.0","284.0","96.0","54.0","54.0","0.0","326.0","230.0","96.0","111.0","111.0","0.0","0.0","0.0","0.0","111.0","111.0","0.0","122.0","122.0","0.0"
"CA-500","San Jose/Santa Clara City & County CoC","6556.0","1929.0","4627.0","5648.0","1084.0","4564.0","908.0","845.0","63.0","2207.0","189.0","2018.0","2169.0","184.0","1985.0","38.0","5.0","33.0","703.0","257.0","446.0","882.0","102.0","780.0","59.0","18.0","41.0","823.0","84.0","739.0","40.0","34.0","6.0","0.0","0.0","0.0","40.0","34.0","6.0","51.0","45.0","6.0"
"CA-501","San Francisco CoC","6775.0","2417.0","4358.0","6175.0","1850.0","4325.0","600.0","567.0","33.0","1629.0","415.0","1214.0","1574.0","385.0","1189.0","55.0","30.0","25.0","557.0","205.0","352.0","1473.0","110.0","1363.0","125.0","6.0","119.0","1348.0","104.0","1244.0","41.0","36.0","5.0","0.0","0.0","0.0","41.0","36.0","5.0","115.0","100.0","15.0"
"CA-502","Oakland/Alameda County CoC","4040.0","1643.0","2397.0","3055.0","902.0","2153.0","985.0","741.0","244.0","750.0","211.0","539.0","660.0","159.0","501.0","90.0","52.0","38.0","388.0","157.0","231.0","299.0","228.0","71.0","13.0","13.0","0.0","286.0","215.0","71.0","70.0","70.0","0.0","0.0","0.0","0.0","70.0","70.0","0.0","80.0","80.0","0.0"
"CA-503","Sacramento City & County CoC","2659.0","1711.0","948.0","1925.0","1014.0","911.0","734.0","697.0","37.0","502.0","184.0","318.0","466.0","153.0","313.0","36.0","31.0","5.0","313.0","171.0","142.0","246.0","96.0","150.0","7.0","3.0","4.0","239.0","93.0","146.0","60.0","60.0","0.0","0.0","0.0","0.0","60.0","60.0","0.0","74.0","74.0","0.0"
"CA-504","Santa Rosa/Petaluma/Sonoma County CoC","3097.0","1037.0","2060.0","2730.0","693.0","2037.0","367.0","344.0","23.0","702.0","114.0","588.0","702.0","114.0","588.0","0.0","0.0","0.0","215.0","79.0","136.0","678.0","37.0","641.0","48.0","0.0","48.0","630.0","37.0","593.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0","1.0","0.0"
"CA-505","Richmond/Contra Costa County CoC","2031.0","704.0","1327.0","1634.0","386.0","1248.0","397.0","318.0","79.0","621.0","212.0","409.0","551.0","174.0","377.0","70.0","38.0","32.0","122.0","44.0","78.0","140.0","43.0","97.0","0.0","0.0","0.0","140.0","43.0","97.0","19.0","13.0","6.0","0.0","0.0","0.0","19.0","13.0","6.0","32.0","21.0","11.0"
"CA-506","Salinas/Monterey, San Benito Counties CoC","2959.0","852.0","2107.0","2506.0","412.0","2094.0","453.0","440.0","13.0","598.0","36.0","562.0","598.0","36.0","562.0","0.0","0.0","0.0","176.0","55.0","121.0","324.0","52.0","272.0","46.0","0.0","46.0","278.0","52.0","226.0","21.0","21.0","0.0","0.0","0.0","0.0","21.0","21.0","0.0","24.0","24.0","0.0"
"CA-507","Marin County CoC","1318.0","483.0","835.0","1115.0","289.0","826.0","203.0","194.0","9.0","281.0","48.0","233.0","263.0","30.0","233.0","18.0","18.0","0.0","66.0","25.0","41.0","367.0","16.0","351.0","6.0","0.0","6.0","361.0","16.0","345.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-508","Watsonville/Santa Cruz City & County CoC","1964.0","610.0","1354.0","1483.0","335.0","1148.0","481.0","275.0","206.0","582.0","165.0","417.0","512.0","137.0","375.0","70.0","28.0","42.0","151.0","38.0","113.0","270.0","21.0","249.0","28.0","0.0","28.0","242.0","21.0","221.0","25.0","11.0","14.0","0.0","0.0","0.0","25.0","11.0","14.0","34.0","13.0","21.0"
"CA-509","Mendocino County CoC","947.0","152.0","795.0","818.0","112.0","706.0","129.0","40.0","89.0","112.0","35.0","77.0","106.0","33.0","73.0","6.0","2.0","4.0","39.0","10.0","29.0","92.0","21.0","71.0","0.0","0.0","0.0","92.0","21.0","71.0","4.0","2.0","2.0","0.0","0.0","0.0","4.0","2.0","2.0","3.0","2.0","1.0"
"CA-510","Turlock/Modesto/Stanislaus County CoC","1408.0","725.0","683.0","1135.0","522.0","613.0","273.0","203.0","70.0","59.0","17.0","42.0","43.0","17.0","26.0","16.0","0.0","16.0","102.0","47.0","55.0","91.0","43.0","48.0","19.0","17.0","2.0","72.0","26.0","46.0","8.0","8.0","0.0","0.0","0.0","0.0","8.0","8.0","0.0","6.0","6.0","0.0"
"CA-511","Stockton/San Joaquin County CoC","1708.0","1173.0","535.0","957.0","470.0","487.0","751.0","703.0","48.0","293.0","83.0","210.0","271.0","61.0","210.0","22.0","22.0","0.0","144.0","83.0","61.0","42.0","29.0","13.0","1.0","1.0","0.0","41.0","28.0","13.0","18.0","18.0","0.0","1.0","1.0","0.0","17.0","17.0","0.0","32.0","32.0","0.0"
"CA-512","Daly/San Mateo County CoC","1483.0","708.0","775.0","967.0","307.0","660.0","516.0","401.0","115.0","319.0","86.0","233.0","313.0","83.0","230.0","6.0","3.0","3.0","183.0","93.0","90.0","44.0","18.0","26.0","5.0","5.0","0.0","39.0","13.0","26.0","17.0","14.0","3.0","0.0","0.0","0.0","17.0","14.0","3.0","26.0","21.0","5.0"
"CA-513","Visalia, Kings, Tulare Counties CoC","862.0","417.0","445.0","725.0","283.0","442.0","137.0","134.0","3.0","349.0","23.0","326.0","338.0","12.0","326.0","11.0","11.0","0.0","51.0","11.0","40.0","66.0","42.0","24.0","1.0","1.0","0.0","65.0","41.0","24.0","5.0","3.0","2.0","0.0","0.0","0.0","5.0","3.0","2.0","4.0","3.0","1.0"
"CA-514","Fresno/Madera County CoC","1722.0","539.0","1183.0","1410.0","234.0","1176.0","312.0","305.0","7.0","368.0","23.0","345.0","366.0","21.0","345.0","2.0","2.0","0.0","227.0","87.0","140.0","136.0","44.0","92.0","3.0","3.0","0.0","133.0","41.0","92.0","35.0","35.0","0.0","0.0","0.0","0.0","35.0","35.0","0.0","38.0","38.0","0.0"
"CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","796.0","297.0","499.0","611.0","187.0","424.0","185.0","110.0","75.0","334.0","97.0","237.0","290.0","70.0","220.0","44.0","27.0","17.0","64.0","21.0","43.0","62.0","21.0","41.0","7.0","6.0","1.0","55.0","15.0","40.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","4.0","4.0","0.0"
"CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","591.0","244.0","347.0","504.0","176.0","328.0","87.0","68.0","19.0","298.0","75.0","223.0","286.0","68.0","218.0","12.0","7.0","5.0","87.0","39.0","48.0","21.0","8.0","13.0","0.0","0.0","0.0","21.0","8.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-517","Napa City & County CoC","293.0","179.0","114.0","226.0","112.0","114.0","67.0","67.0","0.0","132.0","55.0","77.0","125.0","48.0","77.0","7.0","7.0","0.0","19.0","11.0","8.0","17.0","15.0","2.0","0.0","0.0","0.0","17.0","15.0","2.0","4.0","4.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","4.0","4.0","0.0"
"CA-518","Vallejo/Solano County CoC","1082.0","287.0","795.0","968.0","190.0","778.0","114.0","97.0","17.0","227.0","9.0","218.0","223.0","9.0","214.0","4.0","0.0","4.0","89.0","24.0","65.0","120.0","12.0","108.0","9.0","0.0","9.0","111.0","12.0","99.0","3.0","2.0","1.0","0.0","0.0","0.0","3.0","2.0","1.0","3.0","2.0","1.0"
"CA-519","Chico/Paradise/Butte County CoC","571.0","286.0","285.0","472.0","189.0","283.0","99.0","97.0","2.0","257.0","51.0","206.0","250.0","44.0","206.0","7.0","7.0","0.0","50.0","23.0","27.0","57.0","21.0","36.0","0.0","0.0","0.0","57.0","21.0","36.0","7.0","7.0","0.0","0.0","0.0","0.0","7.0","7.0","0.0","10.0","10.0","0.0"
"CA-520","Merced City & County CoC","898.0","155.0","743.0","863.0","120.0","743.0","35.0","35.0","0.0","221.0","35.0","186.0","221.0","35.0","186.0","0.0","0.0","0.0","88.0","14.0","74.0","61.0","2.0","59.0","0.0","0.0","0.0","61.0","2.0","59.0","1.0","1.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","2.0","2.0","0.0"
"CA-521","Davis/Woodland/Yolo County CoC","498.0","305.0","193.0","362.0","179.0","183.0","136.0","126.0","10.0","87.0","43.0","44.0","82.0","38.0","44.0","5.0","5.0","0.0","44.0","28.0","16.0","45.0","14.0","31.0","3.0","0.0","3.0","42.0","14.0","28.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-522","Humboldt County CoC","1180.0","244.0","936.0","1022.0","133.0","889.0","158.0","111.0","47.0","392.0","15.0","377.0","372.0","10.0","362.0","20.0","5.0","15.0","145.0","53.0","92.0","116.0","32.0","84.0","29.0","25.0","4.0","87.0","7.0","80.0","4.0","4.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","3.0","3.0","0.0"
"CA-523","Colusa, Glenn, Trinity Counties CoC","136.0","56.0","80.0","80.0","13.0","67.0","56.0","43.0","13.0","35.0","5.0","30.0","32.0","2.0","30.0","3.0","3.0","0.0","10.0","3.0","7.0","4.0","0.0","4.0","0.0","0.0","0.0","4.0","0.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-524","Yuba City & County/Sutter County CoC","716.0","205.0","511.0","420.0","108.0","312.0","296.0","97.0","199.0","198.0","0.0","198.0","39.0","0.0","39.0","159.0","0.0","159.0","113.0","93.0","20.0","66.0","0.0","66.0","22.0","0.0","22.0","44.0","0.0","44.0","4.0","0.0","4.0","0.0","0.0","0.0","4.0","0.0","4.0","15.0","0.0","15.0"
"CA-525","El Dorado County CoC","269.0","121.0","148.0","157.0","65.0","92.0","112.0","56.0","56.0","104.0","13.0","91.0","58.0","8.0","50.0","46.0","5.0","41.0","20.0","9.0","11.0","17.0","12.0","5.0","6.0","6.0","0.0","11.0","6.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-526","Amador, Calaveras, Tuolumne and Mariposa Counties CoC","430.0","128.0","302.0","337.0","61.0","276.0","93.0","67.0","26.0","101.0","4.0","97.0","98.0","4.0","94.0","3.0","0.0","3.0","47.0","13.0","34.0","35.0","4.0","31.0","0.0","0.0","0.0","35.0","4.0","31.0","8.0","5.0","3.0","0.0","0.0","0.0","8.0","5.0","3.0","13.0","7.0","6.0"
"CA-527","Tehama County CoC","138.0","78.0","60.0","115.0","60.0","55.0","23.0","18.0","5.0","34.0","11.0","23.0","30.0","9.0","21.0","4.0","2.0","2.0","15.0","7.0","8.0","9.0","5.0","4.0","0.0","0.0","0.0","9.0","5.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-529","Lake County CoC","315.0","27.0","288.0","211.0","3.0","208.0","104.0","24.0","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.0","0.0","21.0","6.0","1.0","5.0","1.0","0.0","1.0","5.0","1.0","4.0","4.0","4.0","0.0","0.0","0.0","0.0","4.0","4.0","0.0","5.0","5.0","0.0"
"CA-530","Inyo, Mono, Alpine Counties CoC","53.0","8.0","45.0","46.0","4.0","42.0","7.0","4.0","3.0","19.0","1.0","18.0","19.0","1.0","18.0","0.0","0.0","0.0","8.0","0.0","8.0","7.0","2.0","5.0","0.0","0.0","0.0","7.0","2.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-600","Los Angeles City & County CoC","41174.0","12226.0","28948.0","33669.0","7619.0","26050.0","7505.0","4607.0","2898.0","14173.0","1798.0","12375.0","12356.0","1373.0","10983.0","1817.0","425.0","1392.0","4016.0","1253.0","2763.0","2670.0","762.0","1908.0","280.0","48.0","232.0","2390.0","714.0","1676.0","199.0","199.0","0.0","6.0","6.0","0.0","193.0","193.0","0.0","232.0","232.0","0.0"
"CA-601","San Diego City and County CoC","8742.0","4586.0","4156.0","6761.0","2849.0","3912.0","1981.0","1737.0","244.0","1689.0","340.0","1349.0","1547.0","298.0","1249.0","142.0","42.0","100.0","1381.0","750.0","631.0","625.0","273.0","352.0","59.0","29.0","30.0","566.0","244.0","322.0","119.0","110.0","9.0","0.0","0.0","0.0","119.0","110.0","9.0","165.0","156.0","9.0"
"CA-602","Santa Ana/Anaheim/Orange County CoC","4452.0","2251.0","2201.0","3073.0","878.0","2195.0","1379.0","1373.0","6.0","580.0","133.0","447.0","558.0","111.0","447.0","22.0","22.0","0.0","447.0","91.0","356.0","184.0","79.0","105.0","15.0","13.0","2.0","169.0","66.0","103.0","43.0","43.0","0.0","0.0","0.0","0.0","43.0","43.0","0.0","50.0","50.0","0.0"
"CA-603","Santa Maria/Santa Barbara County CoC","1729.0","839.0","890.0","1393.0","585.0","808.0","336.0","254.0","82.0","374.0","43.0","331.0","347.0","43.0","304.0","27.0","0.0","27.0","128.0","49.0","79.0","115.0","57.0","58.0","5.0","3.0","2.0","110.0","54.0","56.0","3.0","3.0","0.0","0.0","0.0","0.0","3.0","3.0","0.0","6.0","6.0","0.0"
"CA-604","Bakersfield/Kern County CoC","954.0","545.0","409.0","733.0","344.0","389.0","221.0","201.0","20.0","167.0","36.0","131.0","161.0","30.0","131.0","6.0","6.0","0.0","92.0","61.0","31.0","52.0","22.0","30.0","0.0","0.0","0.0","52.0","22.0","30.0","6.0","5.0","1.0","0.0","0.0","0.0","6.0","5.0","1.0","8.0","7.0","1.0"
"CA-606","Long Beach CoC","2345.0","832.0","1513.0","1937.0","576.0","1361.0","408.0","256.0","152.0","953.0","204.0","749.0","905.0","191.0","714.0","48.0","13.0","35.0","308.0","214.0","94.0","80.0","30.0","50.0","1.0","0.0","1.0","79.0","30.0","49.0","20.0","17.0","3.0","0.0","0.0","0.0","20.0","17.0","3.0","34.0","31.0","3.0"
"CA-607","Pasadena CoC","632.0","190.0","442.0","517.0","94.0","423.0","115.0","96.0","19.0","198.0","16.0","182.0","183.0","7.0","176.0","15.0","9.0","6.0","36.0","4.0","32.0","38.0","3.0","35.0","4.0","0.0","4.0","34.0","3.0","31.0","4.0","1.0","3.0","0.0","0.0","0.0","4.0","1.0","3.0","5.0","1.0","4.0"
"CA-608","Riverside City & County CoC","2372.0","884.0","1488.0","2066.0","604.0","1462.0","306.0","280.0","26.0","532.0","113.0","419.0","490.0","89.0","401.0","42.0","24.0","18.0","223.0","121.0","102.0","119.0","57.0","62.0","15.0","11.0","4.0","104.0","46.0","58.0","6.0","6.0","0.0","4.0","4.0","0.0","2.0","2.0","0.0","13.0","13.0","0.0"
"CA-609","San Bernardino City & County CoC","2149.0","838.0","1311.0","1524.0","305.0","1219.0","625.0","533.0","92.0","564.0","77.0","487.0","498.0","34.0","464.0","66.0","43.0","23.0","176.0","31.0","145.0","179.0","65.0","114.0","22.0","15.0","7.0","157.0","50.0","107.0","20.0","15.0","5.0","0.0","0.0","0.0","20.0","15.0","5.0","35.0","28.0","7.0"
"CA-611","Oxnard/San Buenaventura/Ventura County CoC","1417.0","460.0","957.0","1084.0","274.0","810.0","333.0","186.0","147.0","523.0","18.0","505.0","469.0","18.0","451.0","54.0","0.0","54.0","103.0","16.0","87.0","140.0","57.0","83.0","39.0","37.0","2.0","101.0","20.0","81.0","11.0","5.0","6.0","0.0","0.0","0.0","11.0","5.0","6.0","13.0","7.0","6.0"
"CA-612","Glendale CoC","208.0","86.0","122.0","133.0","13.0","120.0","75.0","73.0","2.0","69.0","18.0","51.0","57.0","8.0","49.0","12.0","10.0","2.0","6.0","1.0","5.0","6.0","2.0","4.0","0.0","0.0","0.0","6.0","2.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CA-613","Imperial County CoC","554.0","190.0","364.0","432.0","90.0","342.0","122.0","100.0","22.0","179.0","20.0","159.0","162.0","16.0","146.0","17.0","4.0","13.0","8.0","1.0","7.0","21.0","1.0","20.0","0.0","0.0","0.0","21.0","1.0","20.0","9.0","5.0","4.0","0.0","0.0","0.0","9.0","5.0","4.0","8.0","6.0","2.0"
"CA-614","San Luis Obispo County CoC","1515.0","392.0","1123.0","1157.0","119.0","1038.0","358.0","273.0","85.0","415.0","6.0","409.0","388.0","6.0","382.0","27.0","0.0","27.0","130.0","17.0","113.0","394.0","5.0","389.0","14.0","0.0","14.0","380.0","5.0","375.0","12.0","5.0","7.0","0.0","0.0","0.0","12.0","5.0","7.0","12.0","5.0","7.0"
