"State","Number of CoCs","Total Homeless, 2007","Sheltered Homeless, 2007","Unsheltered Homeless, 2007","Homeless Individuals, 2007","Sheltered Homeless Individuals, 2007","Unsheltered Homeless Individuals, 2007","Homeless People in Families, 2007","Sheltered Homeless People in Families, 2007","Unsheltered Homeless People in Families, 2007","Chronically Homeless Individuals, 2007","Sheltered Chronically Homeless Individuals, 2007","Unsheltered Chronically Homeless Individuals, 2007","Homeless Veterans, 2007","Sheltered Homeless Veterans, 2007","Unsheltered Homeless Veterans, 2007"
"AK","2.0","1642.0","1387.0","255.0","1062.0","891.0","171.0","580.0","496.0","84.0","278.0","221.0","57.0","203.0","152.0","51.0"
"AL","8.0","5452.0","3796.0","1656.0","4184.0","2823.0","1361.0","1268.0","973.0","295.0","993.0","483.0","510.0","974.0","745.0","229.0"
"AR","9.0","3836.0","2285.0","1551.0","2987.0","1766.0","1221.0","849.0","519.0","330.0","852.0","409.0","443.0","287.0","255.0","32.0"
"AZ","3.0","14646.0","8618.0","6028.0","10020.0","4423.0","5597.0","4626.0","4195.0","431.0","2804.0","650.0","2154.0","869.0","858.0","11.0"
"CA","42.0","138986.0","48511.0","90475.0","110952.0","30497.0","80455.0","28034.0","18014.0","10020.0","40341.0","5950.0","34391.0","16701.0","5827.0","10874.0"
"CO","3.0","14225.0","6971.0","7254.0","6844.0","3054.0","3790.0","7381.0","3917.0","3464.0","2050.0","404.0","1646.0","1541.0","931.0","610.0"
"CT","12.0","4482.0","3671.0","811.0","3173.0","2456.0","717.0","1309.0","1215.0","94.0","1023.0","596.0","427.0","436.0","330.0","106.0"
"DC","1.0","5320.0","4980.0","340.0","3717.0","3377.0","340.0","1603.0","1603.0","0.0","1760.0","1439.0","321.0","524.0","487.0","37.0"
"DE","1.0","1061.0","854.0","207.0","716.0","530.0","186.0","345.0","324.0","21.0","150.0","76.0","74.0","204.0","142.0","62.0"
"FL","27.0","48069.0","20529.0","27540.0","33040.0","12772.0","20268.0","15029.0","7757.0","7272.0","7463.0","1842.0","5621.0","5841.0","2658.0","3183.0"
"GA","7.0","19639.0","8341.0","11298.0","12521.0","5743.0","6778.0","7118.0","2598.0","4520.0","2484.0","1108.0","1376.0","2243.0","1929.0","314.0"
"GU","1.0","725.0","103.0","622.0","254.0","53.0","201.0","471.0","50.0","421.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HI","2.0","6070.0","2712.0","3358.0","3335.0","1100.0","2235.0","2735.0","1612.0","1123.0","778.0","132.0","646.0","223.0","223.0","0.0"
"IA","3.0","2734.0","2441.0","293.0","1504.0","1254.0","250.0","1230.0","1187.0","43.0","307.0","225.0","82.0","162.0","155.0","7.0"
